Song,Mood,Time,Activity,Energy,Tempo,Recommendation_Label
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Evening,Studying,0.47,120,36
Je Chhau Timi - Sushant KC,Sad,Evening,Chilling,0.33,110,37
Shape of You,Happy,Afternoon,Relaxing,0.53,114,38
Flowers - Miley Cyrus,Happy,Afternoon,Chilling,0.54,127,39
Kesariya - Brahmastra,Happy,Morning,Workout,0.46,88,40
Flowers - Miley Cyrus,Happy,Afternoon,Studying,1.0,85,41
Timi Nai Hau,Calm,Afternoon,Chilling,0.82,68,42
Sannani - VTEN,Calm,Morning,Workout,0.69,113,43
Anti-Hero - Taylor Swift,Sad,Night,Workout,0.49,99,44
Flowers - Miley Cyrus,Energetic,Afternoon,Workout,0.63,107,45
Kal Ho Naa Ho,Sad,Evening,Studying,0.49,71,46
Memories,Sad,Morning,Studying,0.56,116,47
Kal Ho Naa Ho,Happy,Morning,Workout,0.92,98,48
Heeriye - Jasleen Royal,Happy,Night,Studying,0.94,115,49
Farki Farki - Rohit John Chhetri,Sad,Morning,Chilling,0.5,115,50
Shayad,Sad,Afternoon,Chilling,0.69,89,51
Perfect,Energetic,Afternoon,Workout,0.75,109,52
Flowers - Miley Cyrus,Sad,Evening,Studying,0.73,114,53
Jhoome Jo Pathaan - Pathaan,Happy,Night,Studying,0.38,70,54
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Morning,Relaxing,0.67,87,55
Calm Down - Rema,Sad,Afternoon,Studying,0.48,91,56
Jhoome Jo Pathaan - Pathaan,Sad,Evening,Relaxing,0.4,114,57
Umer Jasto - Neetesh Jung Kunwar,Calm,Morning,Relaxing,0.93,86,58
Shape of You,Happy,Evening,Relaxing,0.95,70,59
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Afternoon,Relaxing,0.63,114,60
Teenpatey - Tribal Rain,Energetic,Evening,Relaxing,0.97,109,61
Sa Karnali,Energetic,Morning,Chilling,0.4,106,62
Jhoome Jo Pathaan - Pathaan,Calm,Afternoon,Workout,0.77,109,63
Shayad,Sad,Night,Workout,0.68,68,64
Shayad,Happy,Evening,Relaxing,0.47,106,65
Timi Nai Hau,Energetic,Morning,Chilling,0.7,74,66
Shape of You,Happy,Afternoon,Relaxing,0.98,114,67
Flowers - Miley Cyrus,Sad,Afternoon,Workout,1.0,86,68
Flowers - Miley Cyrus,Energetic,Afternoon,Workout,0.62,107,69
Calm Down - Rema,Sad,Afternoon,Chilling,0.53,97,70
Kesariya - Brahmastra,Sad,Afternoon,Workout,0.75,60,71
Blinding Lights,Calm,Night,Studying,0.77,124,72
As It Was - Harry Styles,Sad,Morning,Relaxing,0.34,81,73
Heeriye - Jasleen Royal,Happy,Evening,Chilling,0.82,61,74
Sannani - VTEN,Energetic,Night,Studying,0.97,69,75
Teenpatey - Tribal Rain,Calm,Night,Chilling,0.7,93,76
Sa Karnali,Sad,Night,Chilling,0.54,92,77
Perfect,Energetic,Morning,Chilling,0.62,75,78
Farki Farki - Rohit John Chhetri,Happy,Morning,Chilling,0.58,68,79
Kal Ho Naa Ho,Energetic,Afternoon,Relaxing,0.73,110,80
Tera Ban Jaunga,Energetic,Morning,Workout,0.76,122,81
Umer Jasto - Neetesh Jung Kunwar,Energetic,Night,Workout,0.51,117,82
Teenpatey - Tribal Rain,Energetic,Night,Chilling,0.56,120,83
Shayad,Happy,Night,Relaxing,0.4,124,84
Sannani - VTEN,Happy,Evening,Chilling,0.87,81,85
Teenpatey - Tribal Rain,Sad,Evening,Workout,0.96,74,86
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Evening,Studying,0.41,60,87
Flowers - Miley Cyrus,Calm,Evening,Studying,0.96,100,88
Teenpatey - Tribal Rain,Calm,Night,Studying,0.75,98,89
Paint The Town Red - Doja Cat,Happy,Morning,Chilling,0.35,113,90
Flowers - Miley Cyrus,Calm,Morning,Chilling,0.96,98,91
Memories,Calm,Evening,Studying,0.44,61,92
Jhoome Jo Pathaan - Pathaan,Calm,Evening,Workout,0.88,65,93
Flowers - Miley Cyrus,Calm,Morning,Workout,0.33,78,94
Flowers - Miley Cyrus,Calm,Evening,Studying,0.92,101,95
Blinding Lights,Sad,Morning,Workout,0.6,126,96
Bekhayali,Happy,Morning,Relaxing,0.93,81,97
Sannani - VTEN,Energetic,Afternoon,Workout,0.82,66,98
Tum Hi Ho,Happy,Morning,Relaxing,0.75,68,99
Calm Down - Rema,Energetic,Morning,Studying,0.77,110,100
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Morning,Studying,0.87,86,101
Saili,Sad,Night,Workout,0.36,81,102
Sa Karnali,Sad,Morning,Relaxing,0.46,106,103
Pasoori Nu - Satyaprem Ki Katha,Energetic,Afternoon,Chilling,0.84,68,104
Laija Re,Sad,Afternoon,Studying,0.59,96,105
Je Chhau Timi - Sushant KC,Calm,Evening,Relaxing,0.56,82,106
Pasoori Nu - Satyaprem Ki Katha,Energetic,Night,Relaxing,0.36,130,107
Blinding Lights,Energetic,Morning,Workout,0.67,115,108
Perfect,Energetic,Night,Chilling,0.44,62,109
Memories,Energetic,Afternoon,Relaxing,0.51,118,110
Paint The Town Red - Doja Cat,Sad,Morning,Chilling,0.33,74,111
Maya Pirati - Swoopna Suman,Calm,Evening,Workout,0.68,84,112
Sannani - VTEN,Calm,Morning,Workout,0.32,118,113
Blinding Lights,Sad,Morning,Studying,0.47,104,114
Anti-Hero - Taylor Swift,Happy,Morning,Chilling,0.86,79,115
Calm Down - Rema,Happy,Morning,Studying,0.9,106,116
Tera Ban Jaunga,Happy,Night,Workout,1.0,60,117
Laija Re,Calm,Morning,Chilling,0.57,72,118
Perfect,Calm,Night,Studying,0.54,126,119
Shayad,Happy,Morning,Relaxing,0.55,127,120
Tere Vaaste - Zara Hatke Zara Bachke,Calm,Night,Relaxing,0.85,93,121
Apna Bana Le - Bhediya,Sad,Night,Studying,0.79,93,122
Je Chhau Timi - Sushant KC,Sad,Afternoon,Chilling,0.37,85,123
Shape of You,Happy,Evening,Relaxing,0.9,95,124
Bekhayali,Happy,Morning,Workout,0.33,109,125
Je Chhau Timi - Sushant KC,Happy,Night,Relaxing,0.39,93,126
Apna Bana Le - Bhediya,Sad,Evening,Chilling,0.62,128,127
Paint The Town Red - Doja Cat,Sad,Afternoon,Studying,0.5,123,128
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Night,Chilling,0.97,100,129
Apna Bana Le - Bhediya,Happy,Afternoon,Workout,0.68,78,130
As It Was - Harry Styles,Sad,Morning,Workout,0.55,108,131
Bekhayali,Energetic,Evening,Studying,0.65,84,132
Blinding Lights,Calm,Evening,Workout,0.63,111,133
Senorita,Energetic,Morning,Studying,0.88,89,134
Tera Ban Jaunga,Calm,Afternoon,Studying,0.7,94,135
Blinding Lights,Calm,Afternoon,Chilling,0.85,86,136
Farki Farki - Rohit John Chhetri,Happy,Evening,Relaxing,0.95,98,137
Kesariya - Brahmastra,Sad,Night,Relaxing,0.49,63,138
Paint The Town Red - Doja Cat,Happy,Evening,Workout,0.4,73,139
Shape of You,Energetic,Morning,Workout,0.58,122,140
Sannani - VTEN,Energetic,Evening,Studying,0.86,109,141
Memories,Happy,Afternoon,Chilling,0.49,118,142
Pasoori Nu - Satyaprem Ki Katha,Energetic,Morning,Studying,0.39,87,143
Calm Down - Rema,Sad,Evening,Studying,0.68,100,144
Yo Mann Ta Mero Nepali Ho,Calm,Night,Studying,0.82,81,145
Bekhayali,Calm,Evening,Workout,0.45,111,146
Kal Ho Naa Ho,Energetic,Afternoon,Chilling,0.4,72,147
Dance The Night - Dua Lipa,Energetic,Night,Relaxing,0.46,98,148
As It Was - Harry Styles,Energetic,Evening,Chilling,0.65,63,149
Perfect,Sad,Afternoon,Studying,0.52,102,150
Tera Ban Jaunga,Sad,Morning,Studying,0.81,122,151
Sa Karnali,Sad,Night,Relaxing,0.89,110,152
Heeriye - Jasleen Royal,Calm,Morning,Chilling,0.42,76,153
Laija Re,Sad,Afternoon,Workout,0.4,90,154
Je Chhau Timi - Sushant KC,Energetic,Afternoon,Chilling,0.92,121,155
Kesariya - Brahmastra,Sad,Night,Workout,0.31,70,156
Farki Farki - Rohit John Chhetri,Sad,Morning,Chilling,0.35,86,157
Flowers - Miley Cyrus,Energetic,Night,Relaxing,0.97,79,158
Maya Pirati - Swoopna Suman,Sad,Night,Chilling,0.53,66,159
Anti-Hero - Taylor Swift,Happy,Afternoon,Studying,0.44,122,160
Shape of You,Calm,Morning,Chilling,0.49,117,161
Tum Hi Ho,Calm,Morning,Chilling,0.69,121,162
Shayad,Sad,Night,Chilling,0.51,61,163
Perfect,Happy,Morning,Workout,0.74,84,164
Shape of You,Sad,Afternoon,Workout,0.54,108,165
Calm Down - Rema,Sad,Night,Studying,0.58,129,166
Sannani - VTEN,Calm,Morning,Workout,0.59,130,167
Calm Down - Rema,Energetic,Evening,Workout,0.49,106,168
Tera Ban Jaunga,Energetic,Night,Workout,0.74,115,169
Je Chhau Timi - Sushant KC,Energetic,Evening,Workout,0.8,85,170
Je Chhau Timi - Sushant KC,Sad,Night,Workout,0.65,86,171
Maya Pirati - Swoopna Suman,Energetic,Morning,Studying,0.6,106,172
Shayad,Happy,Evening,Workout,0.64,70,173
Senorita,Energetic,Evening,Workout,0.78,98,174
Pasoori Nu - Satyaprem Ki Katha,Energetic,Morning,Chilling,0.31,87,175
Tera Ban Jaunga,Sad,Night,Studying,0.53,95,176
Shape of You,Calm,Evening,Chilling,0.75,73,177
Sannani - VTEN,Sad,Morning,Studying,0.96,73,178
Shayad,Happy,Evening,Relaxing,0.62,124,179
Umer Jasto - Neetesh Jung Kunwar,Calm,Afternoon,Chilling,0.86,122,180
Yo Mann Ta Mero Nepali Ho,Sad,Afternoon,Chilling,0.63,75,181
Tere Vaaste - Zara Hatke Zara Bachke,Calm,Evening,Studying,0.83,80,182
Memories,Calm,Evening,Chilling,0.38,99,183
Apna Bana Le - Bhediya,Sad,Night,Workout,0.54,73,184
Sannani - VTEN,Energetic,Afternoon,Relaxing,0.36,71,185
Bekhayali,Calm,Morning,Workout,0.95,120,186
Perfect,Calm,Night,Workout,0.92,74,187
Tum Hi Ho,Calm,Afternoon,Chilling,0.37,101,188
Timi Nai Hau,Happy,Afternoon,Workout,0.39,94,189
Memories,Calm,Evening,Relaxing,0.63,65,190
Bekhayali,Happy,Morning,Relaxing,0.73,124,191
Shayad,Energetic,Night,Studying,0.54,79,192
Pasoori Nu - Satyaprem Ki Katha,Calm,Evening,Workout,0.62,90,193
Bekhayali,Energetic,Night,Studying,0.92,73,194
Memories,Energetic,Morning,Workout,0.44,101,195
Tere Vaaste - Zara Hatke Zara Bachke,Calm,Afternoon,Studying,0.79,97,196
Paint The Town Red - Doja Cat,Energetic,Evening,Relaxing,0.51,109,197
Kal Ho Naa Ho,Happy,Morning,Workout,0.66,76,198
Saili,Energetic,Evening,Workout,0.94,116,199
Apna Bana Le - Bhediya,Sad,Evening,Relaxing,0.35,102,200
Shape of You,Sad,Morning,Workout,0.49,64,201
Sa Karnali,Happy,Night,Workout,0.36,87,202
Maya Pirati - Swoopna Suman,Happy,Afternoon,Relaxing,0.91,111,203
Sa Karnali,Calm,Evening,Chilling,1.0,114,204
Teenpatey - Tribal Rain,Calm,Afternoon,Chilling,0.87,96,205
Saili,Calm,Afternoon,Chilling,0.61,62,206
As It Was - Harry Styles,Happy,Night,Workout,0.99,82,207
Senorita,Sad,Morning,Chilling,0.7,74,208
Saili,Calm,Morning,Relaxing,0.78,127,209
Tere Vaaste - Zara Hatke Zara Bachke,Happy,Evening,Workout,0.68,95,210
Teenpatey - Tribal Rain,Happy,Night,Relaxing,0.73,129,211
Blinding Lights,Calm,Evening,Studying,0.92,130,212
Calm Down - Rema,Calm,Afternoon,Relaxing,0.63,121,213
Saili,Sad,Morning,Workout,0.57,121,214
Dance The Night - Dua Lipa,Energetic,Evening,Relaxing,0.54,61,215
Bekhayali,Calm,Afternoon,Chilling,1.0,129,216
Saili,Calm,Night,Studying,0.58,74,217
Sannani - VTEN,Energetic,Morning,Chilling,0.6,65,218
Yo Mann Ta Mero Nepali Ho,Happy,Evening,Chilling,0.64,66,219
Teenpatey - Tribal Rain,Calm,Morning,Workout,0.42,116,220
Apna Bana Le - Bhediya,Energetic,Morning,Relaxing,0.39,121,221
Farki Farki - Rohit John Chhetri,Sad,Evening,Workout,0.37,77,222
Shayad,Sad,Morning,Chilling,0.67,62,223
Maya Pirati - Swoopna Suman,Sad,Night,Chilling,0.4,100,224
Perfect,Happy,Evening,Relaxing,0.36,93,225
Yo Mann Ta Mero Nepali Ho,Energetic,Night,Chilling,0.42,76,226
Tera Ban Jaunga,Sad,Night,Studying,0.4,87,227
Kal Ho Naa Ho,Energetic,Night,Chilling,0.58,104,228
Memories,Happy,Night,Chilling,0.94,82,229
Calm Down - Rema,Energetic,Afternoon,Chilling,0.4,82,230
Laija Re,Sad,Night,Chilling,0.86,100,231
Perfect,Happy,Night,Chilling,0.76,82,232
Dance The Night - Dua Lipa,Calm,Evening,Studying,0.66,95,233
Perfect,Energetic,Evening,Chilling,0.45,71,234
Timi Nai Hau,Happy,Morning,Chilling,0.94,87,235
Senorita,Energetic,Evening,Relaxing,0.64,72,236
Shayad,Calm,Evening,Chilling,0.38,101,237
Senorita,Sad,Afternoon,Chilling,0.89,126,238
Timi Nai Hau,Energetic,Evening,Chilling,0.43,90,239
Tera Ban Jaunga,Happy,Night,Studying,0.82,125,240
Kesariya - Brahmastra,Happy,Afternoon,Relaxing,0.71,66,241
Sannani - VTEN,Calm,Night,Workout,0.35,106,242
Laija Re,Happy,Night,Studying,0.98,81,243
As It Was - Harry Styles,Happy,Afternoon,Chilling,0.95,117,244
Calm Down - Rema,Calm,Morning,Studying,0.88,104,245
As It Was - Harry Styles,Sad,Evening,Workout,0.57,100,246
Unholy - Sam Smith,Sad,Afternoon,Studying,0.34,85,247
Tum Hi Ho,Calm,Night,Relaxing,0.86,78,248
Calm Down - Rema,Happy,Afternoon,Relaxing,0.4,116,249
As It Was - Harry Styles,Calm,Morning,Studying,0.39,128,250
Farki Farki - Rohit John Chhetri,Sad,Afternoon,Studying,0.75,95,251
Kesariya - Brahmastra,Sad,Night,Workout,0.88,101,252
Laija Re,Sad,Evening,Studying,0.52,116,253
Laija Re,Happy,Evening,Relaxing,0.35,128,254
Apna Bana Le - Bhediya,Calm,Afternoon,Studying,0.59,93,255
Dance The Night - Dua Lipa,Sad,Afternoon,Relaxing,0.99,84,256
Paint The Town Red - Doja Cat,Happy,Morning,Relaxing,0.78,87,257
Paint The Town Red - Doja Cat,Sad,Morning,Relaxing,0.32,67,258
Dance The Night - Dua Lipa,Sad,Afternoon,Chilling,0.69,85,259
Pasoori Nu - Satyaprem Ki Katha,Sad,Night,Workout,0.32,112,260
Tum Hi Ho,Sad,Night,Chilling,0.63,60,261
Kesariya - Brahmastra,Sad,Evening,Studying,0.53,64,262
Saili,Calm,Night,Workout,0.62,127,263
Jhoome Jo Pathaan - Pathaan,Sad,Evening,Workout,0.41,76,264
Unholy - Sam Smith,Energetic,Afternoon,Chilling,0.96,130,265
Memories,Sad,Afternoon,Relaxing,0.6,62,266
Teenpatey - Tribal Rain,Calm,Evening,Chilling,0.81,113,267
Memories,Calm,Afternoon,Chilling,0.84,62,268
Bekhayali,Energetic,Night,Studying,0.95,108,269
Kal Ho Naa Ho,Calm,Afternoon,Workout,0.9,95,270
Kal Ho Naa Ho,Sad,Afternoon,Chilling,0.65,99,271
Yo Mann Ta Mero Nepali Ho,Energetic,Morning,Studying,0.57,101,272
Kal Ho Naa Ho,Calm,Afternoon,Studying,0.78,115,273
Calm Down - Rema,Calm,Morning,Chilling,0.59,61,274
Saili,Energetic,Afternoon,Workout,0.62,106,275
Maya Pirati - Swoopna Suman,Energetic,Afternoon,Studying,0.94,94,276
Bekhayali,Sad,Evening,Workout,0.59,81,277
Unholy - Sam Smith,Sad,Night,Chilling,0.39,108,278
Farki Farki - Rohit John Chhetri,Energetic,Evening,Workout,0.91,69,279
Shape of You,Energetic,Afternoon,Chilling,0.66,110,280
Timi Nai Hau,Happy,Night,Relaxing,0.51,76,281
Saili,Happy,Afternoon,Studying,0.97,106,282
Timi Nai Hau,Energetic,Night,Studying,0.56,116,283
Shayad,Sad,Night,Relaxing,0.47,117,284
Farki Farki - Rohit John Chhetri,Energetic,Morning,Studying,0.6,126,285
Pasoori Nu - Satyaprem Ki Katha,Calm,Night,Relaxing,0.36,71,286
Tere Vaaste - Zara Hatke Zara Bachke,Happy,Evening,Chilling,0.94,90,287
Paint The Town Red - Doja Cat,Sad,Night,Relaxing,0.33,128,288
Je Chhau Timi - Sushant KC,Happy,Morning,Studying,0.41,100,289
Pasoori Nu - Satyaprem Ki Katha,Sad,Evening,Chilling,0.42,75,290
Tere Vaaste - Zara Hatke Zara Bachke,Energetic,Morning,Workout,0.36,69,291
Maya Pirati - Swoopna Suman,Calm,Morning,Relaxing,0.99,112,292
Saili,Happy,Morning,Workout,0.4,122,293
Calm Down - Rema,Energetic,Evening,Studying,0.33,64,294
Laija Re,Energetic,Evening,Studying,0.77,74,295
As It Was - Harry Styles,Calm,Evening,Chilling,0.81,91,296
Flowers - Miley Cyrus,Happy,Morning,Studying,0.77,71,297
As It Was - Harry Styles,Happy,Night,Chilling,0.37,124,298
Apna Bana Le - Bhediya,Calm,Evening,Workout,0.88,67,299
Apna Bana Le - Bhediya,Energetic,Afternoon,Relaxing,0.64,117,300
Senorita,Calm,Night,Workout,0.78,60,301
Maya Pirati - Swoopna Suman,Sad,Morning,Workout,0.77,111,302
Kesariya - Brahmastra,Happy,Evening,Workout,0.59,129,303
Tum Hi Ho,Calm,Morning,Studying,0.34,70,304
Tera Ban Jaunga,Energetic,Evening,Studying,0.35,67,305
Farki Farki - Rohit John Chhetri,Sad,Afternoon,Workout,0.67,90,306
Kesariya - Brahmastra,Calm,Evening,Chilling,0.56,83,307
Paint The Town Red - Doja Cat,Happy,Afternoon,Workout,0.89,61,308
Timi Nai Hau,Sad,Night,Studying,0.63,79,309
Bekhayali,Energetic,Morning,Chilling,0.88,94,310
Saili,Energetic,Night,Chilling,0.82,102,311
Anti-Hero - Taylor Swift,Happy,Morning,Studying,0.36,118,312
Flowers - Miley Cyrus,Sad,Night,Chilling,0.64,108,313
Sa Karnali,Sad,Afternoon,Studying,0.34,125,314
Umer Jasto - Neetesh Jung Kunwar,Happy,Evening,Studying,0.81,69,315
Laija Re,Calm,Morning,Relaxing,0.75,118,316
Paint The Town Red - Doja Cat,Calm,Night,Relaxing,0.41,65,317
Kal Ho Naa Ho,Sad,Afternoon,Chilling,0.36,106,318
Anti-Hero - Taylor Swift,Sad,Morning,Chilling,0.66,121,319
Perfect,Energetic,Afternoon,Relaxing,0.83,77,320
Shayad,Energetic,Afternoon,Workout,0.32,123,321
Kal Ho Naa Ho,Happy,Evening,Workout,0.74,61,322
Shape of You,Energetic,Evening,Workout,0.71,100,323
Maya Pirati - Swoopna Suman,Calm,Evening,Relaxing,0.31,78,324
Jhoome Jo Pathaan - Pathaan,Happy,Night,Relaxing,0.42,64,325
Kesariya - Brahmastra,Energetic,Afternoon,Workout,0.85,113,326
Bekhayali,Energetic,Evening,Workout,0.66,86,327
Tere Vaaste - Zara Hatke Zara Bachke,Happy,Afternoon,Workout,0.85,97,328
Sannani - VTEN,Energetic,Morning,Relaxing,0.93,101,329
Sannani - VTEN,Sad,Morning,Chilling,0.89,117,330
Dance The Night - Dua Lipa,Calm,Evening,Workout,0.76,90,331
Flowers - Miley Cyrus,Happy,Night,Relaxing,0.83,103,332
Laija Re,Calm,Evening,Chilling,0.34,129,333
Senorita,Sad,Night,Relaxing,0.84,68,334
Pasoori Nu - Satyaprem Ki Katha,Sad,Night,Relaxing,0.81,99,335
As It Was - Harry Styles,Energetic,Evening,Workout,0.38,72,336
Flowers - Miley Cyrus,Energetic,Morning,Workout,0.49,81,337
Anti-Hero - Taylor Swift,Calm,Night,Chilling,0.53,64,338
Perfect,Sad,Evening,Relaxing,0.72,92,339
Tum Hi Ho,Happy,Evening,Chilling,0.54,71,340
Tera Ban Jaunga,Sad,Night,Relaxing,0.74,70,341
Shape of You,Calm,Morning,Chilling,0.81,115,342
Senorita,Happy,Night,Chilling,0.83,81,343
Je Chhau Timi - Sushant KC,Sad,Afternoon,Chilling,0.78,111,344
Yo Mann Ta Mero Nepali Ho,Sad,Afternoon,Studying,0.5,84,345
Umer Jasto - Neetesh Jung Kunwar,Sad,Evening,Workout,0.32,79,346
Tera Ban Jaunga,Happy,Evening,Chilling,0.91,105,347
Yo Mann Ta Mero Nepali Ho,Happy,Evening,Workout,0.94,65,348
Paint The Town Red - Doja Cat,Sad,Evening,Studying,0.46,124,349
Kal Ho Naa Ho,Happy,Afternoon,Relaxing,0.99,107,350
Paint The Town Red - Doja Cat,Sad,Evening,Workout,0.58,81,351
Sannani - VTEN,Happy,Evening,Workout,0.73,69,352
Dance The Night - Dua Lipa,Calm,Night,Studying,0.8,88,353
Sa Karnali,Calm,Morning,Chilling,0.56,80,354
Calm Down - Rema,Sad,Evening,Workout,0.63,128,355
Blinding Lights,Energetic,Afternoon,Workout,0.73,68,356
Farki Farki - Rohit John Chhetri,Calm,Night,Studying,0.84,60,357
Shayad,Sad,Night,Studying,0.93,61,358
Dance The Night - Dua Lipa,Happy,Night,Relaxing,0.56,122,359
Heeriye - Jasleen Royal,Happy,Afternoon,Workout,0.37,121,360
Sannani - VTEN,Calm,Night,Relaxing,0.75,96,361
Tera Ban Jaunga,Energetic,Morning,Chilling,0.77,63,362
As It Was - Harry Styles,Energetic,Evening,Workout,0.78,126,363
Saili,Sad,Afternoon,Chilling,0.52,120,364
Shape of You,Calm,Afternoon,Chilling,0.95,129,365
Calm Down - Rema,Happy,Afternoon,Workout,0.47,128,366
Unholy - Sam Smith,Calm,Evening,Relaxing,0.45,80,367
Jhoome Jo Pathaan - Pathaan,Happy,Morning,Chilling,0.34,109,368
Sa Karnali,Happy,Evening,Relaxing,0.95,127,369
Jhoome Jo Pathaan - Pathaan,Calm,Night,Chilling,0.64,101,370
Calm Down - Rema,Sad,Afternoon,Relaxing,0.47,81,371
Kesariya - Brahmastra,Calm,Evening,Chilling,0.84,116,372
Jhoome Jo Pathaan - Pathaan,Happy,Afternoon,Chilling,0.89,94,373
Bekhayali,Happy,Morning,Chilling,0.88,67,374
Heeriye - Jasleen Royal,Sad,Night,Workout,0.52,119,375
Apna Bana Le - Bhediya,Happy,Night,Relaxing,0.7,117,376
Shayad,Calm,Morning,Studying,0.51,130,377
Memories,Sad,Afternoon,Relaxing,0.98,101,378
Je Chhau Timi - Sushant KC,Calm,Morning,Studying,0.94,128,379
Apna Bana Le - Bhediya,Calm,Evening,Studying,0.83,128,380
Tere Vaaste - Zara Hatke Zara Bachke,Energetic,Evening,Workout,0.42,66,381
Sa Karnali,Sad,Morning,Studying,0.57,123,382
Memories,Energetic,Morning,Workout,0.38,78,383
Umer Jasto - Neetesh Jung Kunwar,Sad,Afternoon,Chilling,0.83,81,384
Tera Ban Jaunga,Energetic,Afternoon,Studying,0.37,63,385
Heeriye - Jasleen Royal,Calm,Evening,Studying,0.5,119,386
Paint The Town Red - Doja Cat,Happy,Evening,Studying,0.42,124,387
Tera Ban Jaunga,Sad,Afternoon,Workout,0.32,104,388
Timi Nai Hau,Energetic,Night,Studying,0.43,86,389
Sa Karnali,Sad,Night,Studying,0.98,61,390
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Afternoon,Studying,0.4,97,391
Flowers - Miley Cyrus,Calm,Night,Chilling,0.62,88,392
Sannani - VTEN,Sad,Morning,Chilling,0.57,106,393
Pasoori Nu - Satyaprem Ki Katha,Happy,Morning,Relaxing,0.89,114,394
Je Chhau Timi - Sushant KC,Calm,Afternoon,Workout,0.75,87,395
Perfect,Sad,Night,Studying,0.49,75,396
Umer Jasto - Neetesh Jung Kunwar,Energetic,Night,Workout,0.9,69,397
Shayad,Energetic,Evening,Workout,0.85,83,398
Tera Ban Jaunga,Happy,Night,Chilling,0.85,110,399
Bekhayali,Calm,Afternoon,Studying,0.75,87,400
Pasoori Nu - Satyaprem Ki Katha,Energetic,Evening,Relaxing,0.88,70,401
Farki Farki - Rohit John Chhetri,Sad,Night,Workout,0.83,62,402
Memories,Energetic,Evening,Workout,0.84,83,403
Memories,Energetic,Morning,Chilling,0.57,106,404
Je Chhau Timi - Sushant KC,Happy,Afternoon,Studying,0.75,129,405
Maya Pirati - Swoopna Suman,Energetic,Afternoon,Chilling,0.61,64,406
Memories,Sad,Afternoon,Relaxing,0.78,94,407
Dance The Night - Dua Lipa,Sad,Afternoon,Relaxing,0.54,102,408
Farki Farki - Rohit John Chhetri,Happy,Morning,Studying,0.57,125,409
Maya Pirati - Swoopna Suman,Sad,Morning,Relaxing,0.5,127,410
Pasoori Nu - Satyaprem Ki Katha,Happy,Evening,Chilling,0.61,102,411
Memories,Sad,Evening,Chilling,0.41,93,412
Kal Ho Naa Ho,Energetic,Morning,Relaxing,0.38,119,413
Pasoori Nu - Satyaprem Ki Katha,Happy,Night,Studying,0.87,60,414
Jhoome Jo Pathaan - Pathaan,Calm,Night,Workout,0.61,106,415
Laija Re,Sad,Evening,Chilling,0.42,83,416
